NO,종목코드,종목명
1,KR7027410000,BGF
2,KR7282330000,BGF리테일
3,KR7138930003,BNK금융지주
4,KR7001040005,CJ
5,KR7079160008,CJ CGV
6,KR7000120006,CJ대한통운
7,KR7097950000,CJ제일제당
8,KR7005830005,DB손해보험
9,KR7000990002,DB하이텍
10,KR7007700008,F&F
11,KR7114090004,GKL
12,KR7078930005,GS
13,KR7006360002,GS건설
14,KR7007070006,GS리테일
15,KR7012630000,HDC
16,KR7294870001,HDC현대산업개발
17,KR7011200003,HMM
18,KR7001060003,JW중외제약
19,KR7105560007,KB금융
20,KR7002380004,KCC
21,KR7016380008,KG동부제철
22,KR7030200000,KT
23,KR7033780008,KT&G
24,KR7093050003,LF
25,KR7003550001,LG
26,KR7034220004,LG디스플레이
27,KR7001120005,LG상사
28,KR7051900009,LG생활건강
29,KR7032640005,LG유플러스
30,KR7011070000,LG이노텍
31,KR7066570003,LG전자
32,KR7108670001,LG하우시스
33,KR7051910008,LG화학
34,KR7079550000,LIG넥스원
35,KR7006260004,LS
36,KR7010120004,LS ELECTRIC
37,KR7035420009,NAVER
38,KR7005940002,NH투자증권
39,KR7010060002,OCI
40,KR7005490008,POSCO
41,KR7064960008,S&T모티브
42,KR7034730002,SK
43,KR7011790003,SKC
44,KR7001740000,SK네트웍스
45,KR7006120000,SK디스커버리
46,KR7096770003,SK이노베이션
47,KR7285130001,SK케미칼
48,KR7017670001,SK텔레콤
49,KR7000660001,SK하이닉스
50,KR7010950004,S-Oil
51,KR7005610001,SPC삼립
52,KR7035250000,강원랜드
53,KR7010130003,고려아연
54,KR7002240000,고려제강
55,KR7011780004,금호석유
56,KR7073240004,금호타이어
57,KR7000270009,기아차
58,KR7024110009,기업은행
59,KR7025860008,남해화학
60,KR7002350007,넥센타이어
61,KR7251270005,넷마블
62,KR7006280002,녹십자
63,KR7005250006,녹십자홀딩스
64,KR7004370003,농심
65,KR7019680008,대교
66,KR7000210005,대림산업
67,KR7001680008,대상
68,KR7047040001,대우건설
69,KR7042660001,대우조선해양
70,KR7069620003,대웅제약
71,KR7006650006,대한유화
72,KR7003490000,대한항공
73,KR7192080000,더블유게임즈
74,KR7001230002,동국제강
75,KR7026960005,동서
76,KR7000640003,동아쏘시오홀딩스
77,KR7170900005,동아에스티
78,KR7049770001,동원F&B
79,KR7014820005,동원시스템즈
80,KR7000150003,두산
81,KR7241560002,두산밥캣
82,KR7042670000,두산인프라코어
83,KR7034020008,두산중공업
84,KR7115390007,락앤락
85,KR7032350001,롯데관광개발
86,KR7023530009,롯데쇼핑
87,KR7004000006,롯데정밀화학
88,KR7004990008,롯데지주
89,KR7005300009,롯데칠성
90,KR7011170008,롯데케미칼
91,KR7002270007,롯데푸드
92,KR7071840003,롯데하이마트
93,KR7204320006,만도
94,KR7008560005,메리츠증권
95,KR7006800007,미래에셋대우
96,KR7003850005,보령제약
97,KR7003000007,부광약품
98,KR7005180005,빙그레
99,KR7006400006,삼성SDI
100,KR7028260008,삼성물산
101,KR7207940008,삼성바이오로직스
102,KR7032830002,삼성생명
103,KR7018260000,삼성에스디에스
104,KR7028050003,삼성엔지니어링
105,KR7009150004,삼성전기
106,KR7005930003,삼성전자
107,KR7010140002,삼성중공업
108,KR7016360000,삼성증권
109,KR7029780004,삼성카드
110,KR7000810002,삼성화재
111,KR7145990008,삼양사
112,KR7000070003,삼양홀딩스
113,KR7004490009,세방전지
114,KR7001430008,세아베스틸
115,KR7068270008,셀트리온
116,KR7004170007,신세계
117,KR7031430002,신세계인터내셔날
118,KR7055550008,신한지주
119,KR7003410008,쌍용양회
120,KR7002790004,아모레G
121,KR7090430000,아모레퍼시픽
122,KR7020560009,아시아나항공
123,KR7010780005,아이에스동서
124,KR7018250001,애경산업
125,KR7012750006,에스원
126,KR7036570000,엔씨소프트
127,KR7111770004,영원무역
128,KR7003520004,영진약품
129,KR7000670000,영풍
130,KR7007310006,오뚜기
131,KR7271560005,오리온
132,KR7001800002,오리온홀딩스
133,KR7316140003,우리금융지주
134,KR7014830004,유니드
135,KR7000100008,유한양행
136,KR7214320004,이노션
137,KR7139480008,이마트
138,KR7007570005,일양약품
139,KR7020150009,일진머티리얼즈
140,KR7030000004,제일기획
141,KR7185750007,종근당
142,KR7035720002,카카오
143,KR7192820009,코스맥스
144,KR7120110002,코오롱인더
145,KR7021240007,코웨이
146,KR7192400000,쿠쿠홀딩스
147,KR7284740008,쿠쿠홈시스
148,KR7003240009,태광산업
149,KR7009410002,태영건설
150,KR7028670008,팬오션
151,KR7047050000,포스코인터내셔널
152,KR7003670007,포스코케미칼
153,KR7103140000,풍산
154,KR7086790003,하나금융지주
155,KR7000080002,하이트진로
156,KR7036460004,한국가스공사
157,KR7071050009,한국금융지주
158,KR7015760002,한국전력
159,KR7009540006,한국조선해양
160,KR7161890009,한국콜마
161,KR7161390000,한국타이어앤테크놀로지
162,KR7000240002,한국테크놀로지그룹
163,KR7047810007,한국항공우주
164,KR7060980000,한라홀딩스
165,KR7008930000,한미사이언스
166,KR7128940004,한미약품
167,KR7009240003,한샘
168,KR7020000006,한섬
169,KR7105630008,한세실업
170,KR7014680003,한솔케미칼
171,KR7018880005,한온시스템
172,KR7009420001,한올바이오파마
173,KR7006390009,한일현대시멘트
174,KR7051600005,한전KPS
175,KR7052690005,한전기술
176,KR7180640005,한진칼
177,KR7000880005,한화
178,KR7088350004,한화생명
179,KR7009830001,한화솔루션
180,KR7012450003,한화에어로스페이스
181,KR7000720003,현대건설
182,KR7005440003,현대그린푸드
183,KR7086280005,현대글로비스
184,KR7064350002,현대로템
185,KR7012330007,현대모비스
186,KR7010620003,현대미포조선
187,KR7069960003,현대백화점
188,KR7017800004,현대엘리베이
189,KR7011210002,현대위아
190,KR7004020004,현대제철
191,KR7267250009,현대중공업지주
192,KR7005380001,현대차
193,KR7001450006,현대해상
194,KR7057050007,현대홈쇼핑
195,KR7008770000,호텔신라
196,KR7241590009,화승엔터프라이즈
197,KR7004800009,효성
198,KR7093370005,후성
199,KR7081660003,휠라홀딩스
200,KR7069260008,휴켐스
